MonthYear,Region,Organization,Type 1,Type 2,Type 3,Total Attendances,Type 1 < 4h,Type 2 < 4h,Type 3 < 4h,Total Attendances < 4h,Type 1 > 4h,Type 2 > 4h,Type 3 > 4h,Total Attendances > 4 hours,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,>4h decision to admit,>12h decision to admit,Year,CovidPeriod,Within_4h_%,Over_4h_%,Type1_Over4h_%,Type1_Under4h_%
2015-06-01,London Region,London North West Healthcare NHS Trust,10930.0,0.0,17287.0,28217.0,8669.0,0.0,17130.0,25799.0,2261.0,0.0,157.0,2418.0,4651.0,0.0,0.0,4651.0,533.0,5184.0,886.0,0.0,2015,Pre-COVID,91.43069780628699,8.56930219371301,20.686184812442818,79.31381518755718
2015-06-01,London Region,Lewisham And Greenwich NHS Trust,18324.0,0.0,3602.0,21926.0,17000.0,0.0,3583.0,20583.0,1324.0,0.0,19.0,1343.0,4455.0,0.0,0.0,4455.0,313.0,4768.0,244.0,0.0,2015,Pre-COVID,93.87485177414942,6.125148225850588,7.225496616459289,92.7745033835407
2015-06-01,London Region,Kingston Hospital NHS Foundation Trust,8274.0,848.0,0.0,9122.0,7151.0,848.0,0.0,7999.0,1123.0,0.0,0.0,1123.0,1767.0,0.0,0.0,1767.0,387.0,2154.0,0.0,0.0,2015,Pre-COVID,87.68910326682744,12.31089673317255,13.572637176698091,86.4273628233019
2015-06-01,London Region,King's College Hospital NHS Foundation Trust,17275.0,2425.0,5482.0,25182.0,15634.0,2424.0,5348.0,23406.0,1641.0,1.0,134.0,1776.0,4802.0,0.0,0.0,4802.0,512.0,5314.0,226.0,2.0,2015,Pre-COVID,92.9473433404813,7.0526566595187035,9.499276410998553,90.50072358900144
2015-06-01,London Region,Imperial College Healthcare NHS Trust,9163.0,3864.0,10294.0,23321.0,8158.0,3856.0,10236.0,22250.0,1005.0,8.0,58.0,1071.0,3443.0,0.0,0.0,3443.0,1278.0,4721.0,84.0,0.0,2015,Pre-COVID,95.40757257407488,4.592427425925131,10.96802357306559,89.0319764269344
2015-06-01,London Region,Hounslow And Richmond Community Healthcare NHS Trust,0.0,0.0,4097.0,4097.0,0.0,0.0,4097.0,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,London Region,Homerton University Hospital NHS Foundation Trust,10534.0,0.0,0.0,10534.0,10030.0,0.0,0.0,10030.0,504.0,0.0,0.0,504.0,1363.0,0.0,0.0,1363.0,264.0,1627.0,52.0,0.0,2015,Pre-COVID,95.21549269033606,4.784507309663946,4.784507309663946,95.21549269033606
2015-06-01,London Region,Harold Wood Walk In Centre,0.0,0.0,4104.0,4104.0,0.0,0.0,4104.0,4104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,London Region,Guy's And St Thomas' NHS Foundation Trust,11868.0,800.0,2910.0,15578.0,11096.0,800.0,2909.0,14805.0,772.0,0.0,1.0,773.0,2863.0,0.0,0.0,2863.0,192.0,3055.0,74.0,0.0,2015,Pre-COVID,95.03787392476569,4.962126075234305,6.504887091338052,93.49511290866195
2015-06-01,London Region,Epsom And St Helier University Hospitals NHS Trust,12155.0,500.0,0.0,12655.0,11808.0,500.0,0.0,12308.0,347.0,0.0,0.0,347.0,2870.0,2.0,0.0,2872.0,262.0,3134.0,76.0,0.0,2015,Pre-COVID,97.2580007902015,2.7419992097984984,2.8547922665569723,97.14520773344303
2015-06-01,London Region,Edridge Road Community Health Centre,0.0,0.0,3007.0,3007.0,0.0,0.0,3007.0,3007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
